,Date,Open,High,Low,Close,Volume
0,12/19/2016,790.219971,797.659973,786.27002,794.200012,1225900
1,12/20/2016,796.76001,798.650024,793.27002,796.419983,925100
2,12/21/2016,795.840027,796.676025,787.099976,794.559998,1208700
3,12/22/2016,792.359985,793.320007,788.580017,791.26001,969100
4,12/23/2016,790.900024,792.73999,787.280029,789.909973,623400
5,12/27/2016,790.679993,797.859985,787.656982,791.549988,789100
6,12/28/2016,793.700012,794.22998,783.200012,785.049988,1132700
7,12/29/2016,783.330017,785.929993,778.919983,782.789978,742200
8,12/30/2016,782.75,782.780029,770.409973,771.820007,1760200
9,1/3/2017,778.809998,789.630005,775.799988,786.140015,1643100
10,1/4/2017,788.359985,791.340027,783.159973,786.900024,1065400
11,1/5/2017,786.080017,794.47998,785.02002,794.02002,1315400
12,1/6/2017,795.26001,807.900024,792.203979,806.150024,1620500
13,1/9/2017,806.400024,809.966003,802.830017,806.650024,1272400
14,1/10/2017,807.859985,809.130005,803.51001,804.789978,1174300
15,1/11/2017,805.0,808.150024,801.369995,807.909973,1057900
16,1/12/2017,807.140015,807.390015,799.169983,806.359985,1351000
17,1/13/2017,807.47998,811.223999,806.690002,807.880005,1090100
18,1/17/2017,807.080017,807.140015,800.369995,804.609985,1355800
19,1/18/2017,805.809998,806.205017,800.98999,806.070007,1293300
20,1/19/2017,805.119995,809.47998,801.799988,802.174988,912000
21,1/20/2017,806.909973,806.909973,801.690002,805.02002,1645000
22,1/23/2017,807.25,820.869995,803.73999,819.309998,1901600
23,1/24/2017,822.299988,825.900024,817.820984,823.869995,1461000
24,1/25/2017,829.619995,835.77002,825.059998,835.669983,1494500
25,1/26/2017,837.809998,838.0,827.01001,832.150024,2734400
26,1/27/2017,834.710022,841.950012,820.440002,823.309998,2951800
27,1/30/2017,814.659973,815.840027,799.799988,802.320007,3228900
28,1/31/2017,796.859985,801.25,790.52002,796.789978,2143500
29,2/1/2017,799.679993,801.190002,791.190002,795.695007,2023300
30,2/2/2017,793.799988,802.700012,792.0,798.530029,1525800
31,2/3/2017,802.98999,806.0,800.369995,801.48999,1460400
32,2/6/2017,799.700012,801.669983,795.25,801.340027,1174200
33,2/7/2017,803.98999,810.5,801.780029,806.969971,1235200
34,2/8/2017,807.0,811.840027,803.190002,808.380005,1155300
35,2/9/2017,809.51001,810.659973,804.539978,809.559998,989700
36,2/10/2017,811.700012,815.25,809.780029,813.669983,1129100
37,2/13/2017,816.0,820.958984,815.48999,819.23999,1198100
38,2/14/2017,819.0,823.0,816.0,820.450012,1053600
39,2/15/2017,819.359985,823.0,818.469971,818.97998,1304000
40,2/16/2017,819.929993,824.400024,818.97998,824.159973,1281700
41,2/17/2017,823.02002,828.070007,821.655029,828.070007,1597800
42,2/21/2017,828.659973,833.450012,828.349976,831.659973,1247700
43,2/22/2017,828.659973,833.25,828.640015,830.76001,982900
44,2/23/2017,830.119995,832.460022,822.880005,831.330017,1470100
45,2/24/2017,827.72998,829.0,824.200012,828.640015,1386600
46,2/27/2017,824.549988,830.5,824.0,829.280029,1099500
47,2/28/2017,825.609985,828.539978,820.200012,823.210022,2252300
48,3/1/2017,828.849976,836.255005,827.26001,835.23999,1491400
49,3/2/2017,833.849976,834.51001,829.640015,830.630005,937700
50,3/3/2017,830.559998,831.359985,825.750977,829.080017,888900
51,3/6/2017,826.950012,828.880005,822.400024,827.780029,1105800
52,3/7/2017,827.400024,833.409973,826.52002,831.909973,1016600
53,3/8/2017,833.51001,838.150024,831.789978,835.369995,988700
54,3/9/2017,836.0,842.0,834.210022,838.679993,1259900
55,3/10/2017,843.280029,844.909973,839.5,843.25,1701100
56,3/13/2017,844.0,848.684998,843.25,845.539978,1149500
57,3/14/2017,843.640015,847.23999,840.799988,845.619995,779900
58,3/15/2017,847.590027,848.630005,840.77002,847.200012,1379600
59,3/16/2017,849.030029,850.849976,846.130005,848.780029,970400
60,3/17/2017,851.609985,853.400024,847.109985,852.119995,1712300
